user,abs(Fine Arts),abs(Literature),abs(Social Studies),abs(Mathematics),abs(Biology),abs(History),abs(Other),abs(Physics),abs(Chemistry),abs(Astronomy),abs(Earth Science),Fine Arts,Literature,Social Studies,Mathematics,Biology,History,Other,Physics,Chemistry,Astronomy,Earth Science,abs(Predicted Fine Arts),abs(Predicted Literature),abs(Predicted Social Studies),abs(Predicted Mathematics),abs(Predicted Biology),abs(Predicted History),abs(Predicted Other),abs(Predicted Physics),abs(Predicted Chemistry),abs(Predicted Astronomy),abs(Predicted Earth Science),Predicted Fine Arts,Predicted Literature,Predicted Social Studies,Predicted Mathematics,Predicted Biology,Predicted History,Predicted Other,Predicted Physics,Predicted Chemistry,Predicted Astronomy,Predicted Earth Science
0,87.8,87.2933333333,88.0,76.5,53.3333333333,64.3548387097,,60.4666666667,57.7692307692,,59.0,74.2571428571,63.4266666667,61.0545454545,-42.5,-30.3333333333,41.3225806452,,21.8,18.3846153846,,59.0,46.1060941359,52.352687002,42.5293651283,38.0565463728,33.3850769377,31.9827598052,,27.3869489672,25.84876446,,15.9966080006,46.1060941359,52.352687002,42.5293651283,38.0565463728,33.3850769377,31.0301689572,,27.3869489672,25.84876446,,15.9966080006
1,113.555555556,109.96,92.8260869565,90.4,61.1428571429,93.3333333333,108.5,88.3928571429,81.5294117647,89.0,110.0,20.9259259259,58.14,12.1956521739,-6.0,2.19047619048,18.6666666667,76.5,45.8928571429,32.5882352941,-89.0,110.0,50.5886474905,49.5431346021,41.2314216262,34.4958198343,34.6102783329,33.7669803267,38.6313670481,28.4144786497,27.4249904844,12.1831691395,15.9535234893,50.5886474905,49.5431346021,41.2314216262,34.4958198343,34.6102783329,33.7669803267,38.6313670481,28.4144786497,27.4249904844,12.1831691395,15.9535234893
2,104.857142857,117.0,99.2857142857,,91.0,93.5714285714,,89.0,95.3333333333,71.0,,104.857142857,89.0,17.0,,31.6666666667,26.4285714286,,-21.0,31.3333333333,71.0,,45.6000851666,47.8928832002,38.8884423583,,36.9784940587,36.1659931129,,31.2816341615,24.1675712838,22.0963804315,,45.6000851666,47.8928832002,38.8884423583,,36.9784940587,36.1659931129,,31.2816341615,24.1675712838,22.0963804315,
3,80.6091954023,89.2849162011,90.2985074627,82.5833333333,86.6206896552,81.7882352941,54.4,89.1515151515,76.52,44.0,99.0,48.4942528736,66.4916201117,47.223880597,71.0833333333,11.8620689655,38.5176470588,21.6,29.9393939394,44.6,26.6666666667,99.0,49.3462841193,49.4029532955,41.0193641187,37.6775355094,34.1416781034,35.5731414923,39.2252844087,28.8217909763,23.350945073,24.3361907471,21.6890421832,49.3462841193,49.4029532955,41.0193641187,37.6775355094,34.1416781034,35.5731414923,39.2252844087,28.8217909763,23.350945073,24.3361907471,21.6890421832
4,123.913043478,105.234042553,97.7142857143,95.3333333333,78.5,108.9375,105.0,83.6666666667,57.6,,,42.2608695652,83.5744680851,64.8571428571,95.3333333333,58.9,59.9375,105.0,46.3333333333,57.6,,,48.0080427089,47.7087644216,38.3139481374,35.3649822948,36.6819964854,33.6831501717,40.620713458,24.6244842322,22.0970179991,,,48.0080427089,47.7087644216,38.3139481374,35.3649822948,36.6819964854,33.6831501717,40.620713458,24.6244842322,22.0970179991,,
5,99.3076923077,116.1,99.6538461538,105.0,69.2,105.363636364,,76.6666666667,69.75,,,51.7692307692,35.1666666667,36.5769230769,105.0,69.2,27.7272727273,,57.3333333333,20.25,,,45.9343699691,49.2720989858,38.9126299026,36.6030595987,33.043964164,34.721978204,,29.9829941467,28.5673626497,,,45.9343699691,49.2720989858,38.9126299026,36.6030595987,33.043964164,34.721978204,,29.9829941467,28.5673626497,,
6,53.1111111111,72.2580645161,55.0,,,56.0909090909,,,,,,26.4444444444,52.6451612903,9.94117647059,,,53.0,,,,,,48.1885535228,47.7838338575,37.859719996,,,41.6335627101,,,,,,48.1885535228,47.7838338575,37.859719996,,,41.6335627101,,,,,
7,94.4,106.275862069,85.8571428571,,76.5,92.2857142857,,101.666666667,70.0,96.0,,41.2,24.0,-37.1428571429,,3.5,58.8571428571,,35.0,70.0,96.0,,53.9374492703,47.9903869288,36.2806790372,,40.4671988223,38.0796717273,,27.646781945,24.7084982807,19.4372734336,,53.9374492703,47.9903869288,36.2458373658,,40.4671988223,33.7748860918,,27.646781945,24.7084982807,19.4372734336,
8,102.416666667,,102.5,119.0,84.6666666667,114.0,140.0,85.2,101.333333333,,,50.4166666667,,43.5,-119.0,30.0,-114.0,-140.0,-8.8,-23.3333333333,,,46.1297681831,,36.3161199709,36.3431408052,32.9756066774,27.5705153521,39.3798157464,25.6749544316,23.2432791177,,,46.1297681831,,36.3161199709,36.3431408052,32.9756066774,27.5705153521,39.3798157464,25.6749544316,23.2432791177,,
9,69.905,92.0483091787,86.3764044944,93.9230769231,88.3939393939,93.5,101.846153846,80.7083333333,73.6,67.52,90.5,42.785,50.154589372,36.8820224719,9.92307692308,27.9696969697,40.4433962264,57.8461538462,11.7083333333,30.7428571429,36.32,51.0,45.7481420202,47.8507521072,41.0461676874,36.6203590044,35.240400699,35.3096292695,32.6873682523,28.4620513981,23.5741209423,23.1641474552,20.6353662274,45.7481420202,47.8507521072,41.0461676874,36.6203590044,35.240400699,35.3096292695,32.6873682523,28.4620513981,23.5741209423,23.1641474552,20.6353662274
